Timestamp,POA Irradiance,Meter Power,Inverter_1,Inverter_2,Avg_Top_20%,Expected Sum
2023-05-07 19:00:00,29.21755,23.98451,13.3393,20.17207,,33.51137
2023-05-07 20:00:00,0.6439443,-7.45149,0.0,0.02833332,,0.02833332
2023-05-07 21:00:00,0.0,-5.096052,0.0,0.0,,0.0
2023-05-07 22:00:00,0.0,-5.110704,0.0,0.0,,0.0
2023-05-07 23:00:00,0.0,-4.981251,0.0,0.0,,0.0
2023-05-08 00:00:00,0.0,-4.938658,0.0,0.0,,0.0
2023-05-08 01:00:00,0.0,-4.987569,0.0,0.0,,0.0
2023-05-08 02:00:00,0.0,-5.052233,0.0,0.0,,0.0
2023-05-08 03:00:00,0.0,-5.068872,0.0,0.0,,0.0
2023-05-08 04:00:00,0.0,-5.03652,0.0,0.0,,0.0
2023-05-08 05:00:00,0.0,-5.636305,0.0,0.0,,0.0
2023-05-08 06:00:00,15.76357,19.69588,11.68017,17.58871,,29.26888
2023-05-08 07:00:00,120.7502,170.0488,72.10757,105.9734,105.9734,178.08096999999998
2023-05-08 08:00:00,187.5402,297.619,123.5402,180.8017,180.8017,304.3419
2023-05-08 09:00:00,233.9168,358.5099,149.2073,217.788,217.788,366.99530000000004
2023-05-08 10:00:00,223.9766,346.6457,143.9756,210.3731,210.3731,354.3487
2023-05-08 11:00:00,271.114,423.7463,174.6146,255.8893,255.8893,430.5039
2023-05-08 12:00:00,791.0733,1200.698,496.4904,714.6749,714.6749,1211.1653000000001
2023-05-08 13:00:00,401.0767,580.577,240.3836,347.7024,347.7024,588.086
2023-05-08 14:00:00,467.5604,724.3543,296.0591,433.3514,433.3514,729.4105
2023-05-08 15:00:00,344.0454,514.7422,218.0773,306.3547,306.3547,524.432
2023-05-08 16:00:00,607.313,924.588,387.3043,546.6893,546.6893,933.9936
2023-05-08 17:00:00,393.3569,563.6141,233.1287,337.6901,337.6901,570.8188
2023-05-08 18:00:00,132.4236,182.8006,77.81274,113.4826,113.4826,191.29534
2023-05-08 19:00:00,55.00261,48.61865,23.36013,35.00705,35.00705,58.367180000000005
2023-05-08 20:00:00,0.4221705,-7.487308,0.0,0.0,,0.0
2023-05-08 21:00:00,0.007041668,-5.134979,0.0,0.0,,0.0
2023-05-08 22:00:00,0.0,-5.160841,0.0,0.0,,0.0
2023-05-08 23:00:00,0.0,-5.120694,0.0,0.0,,0.0
2023-05-09 00:00:00,0.008305555,-5.058953,0.0,0.0,,0.0
2023-05-09 01:00:00,0.0,-5.016538,0.0,0.0,,0.0
2023-05-09 02:00:00,0.0,-4.947688,0.0,0.0,,0.0
2023-05-09 03:00:00,0.001777888,-4.967969,0.0,0.0,,0.0
2023-05-09 04:00:00,0.004597113,-4.964082,0.0,0.0,,0.0
2023-05-09 05:00:00,0.0,-5.691322,0.0,0.0,,0.0
2023-05-09 06:00:00,12.34835,9.754567,7.494307,11.5146,,19.008907
2023-05-09 07:00:00,94.28741,124.6971,53.91467,78.82874,78.82874,132.74340999999998
2023-05-09 08:00:00,267.4414,417.7644,172.3113,250.2039,250.2039,422.5152
2023-05-09 09:00:00,509.6021,820.8198,338.6646,488.1359,488.1359,826.8005
2023-05-09 10:00:00,704.1863,1105.821,455.7806,654.9926,654.9926,1110.7732
2023-05-09 11:00:00,860.3484,1300.306,537.7823,768.4421,768.4421,1306.2244
2023-05-09 12:00:00,913.9081,1314.347,543.713,782.7081,782.7081,1326.4211
2023-05-09 13:00:00,850.6926,1071.856,447.2542,633.3641,633.3641,1080.6183
2023-05-09 14:00:00,811.0598,1166.314,493.7363,694.155,694.155,1187.8913
2023-05-09 15:00:00,802.5598,1207.074,491.3179,696.6683,696.6683,1187.9862
2023-05-09 16:00:00,545.1729,825.2421,354.031,492.1887,492.1887,846.2197
