Penny Hill Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/2/2023 4:00:00 PM,563.9811,110.3677,85.56846,3,7495.667,12984.67,1317.697,442.5,440.83,436.1
10/2/2023 4:15:00 PM,505.9818,108.2018,85.7387,3,7489,12971,1193.592,401.8667,398.7533,394.6333
10/2/2023 4:30:00 PM,447.0039,103.2922,85.07715,4,7493,12978,1059.663,357.5833,353.3467,349.7333
10/2/2023 4:45:00 PM,385.6243,99.78538,84.47272,4,7492.333,12977.33,915.899,309.01,305.1333,301.9233
10/2/2023 5:00:00 PM,325.4011,95.72497,83.77003,3,7488.333,12972.33,768.9767,258.63,256.3067,253.3767
10/2/2023 5:15:00 PM,262.6871,91.87914,82.9211,3,7488.333,12971.33,611.006,205.2967,202.8633,202.8767
10/2/2023 5:30:00 PM,120.3575,88.01995,82.05274,3,7490.667,12972.67,439.305,148.3667,142.76,149.1667
10/2/2023 5:45:00 PM,35.04866,78.55232,80.80162,2,7492,12975.67,279.8667,97.18667,88.89,95.2
10/2/2023 6:00:00 PM,25.35246,74.90772,79.48194,1,7494,12980.33,141.4477,52.88,44.15667,46.77333
10/2/2023 6:15:00 PM,12.89862,72.5189,78.13027,1,7497.667,12988,50.61267,19.57667,17.1,17.23333
10/2/2023 6:30:00 PM,1.77912,69.02792,76.2096,0,7498,12988,19.57367,7.61,7.67,7.536667
10/2/2023 6:45:00 PM,0,65.34491,73.82504,0,7486.667,12967.67,-0.7256666,0.8133333,0.9866667,0.8966666
10/2/2023 7:00:00 PM,0,62.64048,71.64157,0,7542.333,13065,-5.436666,-0.5066667,-0.5733333,-0.58
10/2/2023 7:15:00 PM,0,61.8698,69.73118,0,7558.667,13092,-3.941,0,0,0
10/2/2023 7:30:00 PM,0,61.54918,69.1279,0,7564,13101,-3.946667,0,0,0
10/2/2023 7:45:00 PM,0,60.60651,67.98875,0,7574.667,13119.67,-3.96,0,0,0
10/2/2023 8:00:00 PM,0,59.71644,66.43941,0,7589.667,13144,-3.979,0,0,0
