Briarwood Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard),Production meter L-N voltage,Production meter active power,"SunGrow SG125HV Inverter - 1, Line kW","SunGrow SG125HV Inverter - 2, Line kW","SunGrow SG125HV Inverter - 3, Line kW","SunGrow SG125HV Inverter - 4, Line kW","SunGrow SG125HV Inverter - 5, Line kW","SunGrow SG125HV Inverter - 6, Line kW","SunGrow SG125HV Inverter - 7, Line kW","SunGrow SG125HV Inverter - 8, Line kW","SunGrow SG125HV Inverter - 9, Line kW","SunGrow SG125HV Inverter - 10, Line kW","SunGrow SG125HV Inverter - 11, Line kW","SunGrow SG125HV Inverter - 12, Line kW","SunGrow SG125HV Inverter - 13, Line kW","SunGrow SG125HV Inverter - 14, Line kW","SunGrow SG125HV Inverter - 15, Line kW","SunGrow SG125HV Inverter - 16, Line kW"
9/1/2023 12:15:00 PM,949.7056,43.98835,83.84389,4,7.539224,1781.781,114.581,100.5772,125.994,113.426,125.9814,112.8865,105.6132,0,125.9912,125.9914,125.989,125.998,125.9867,125.999,125.9822,113.4585
9/1/2023 12:30:00 PM,945.7055,44.0284,84.56686,3,7.531409,1779.329,113.6735,99.69077,125.994,112.4304,125.6041,112.1045,105.004,0,125.7553,125.989,125.989,125.99,125.991,126.0012,125.9361,114.8191
9/1/2023 12:45:00 PM,943.9937,44.66405,85.15109,3,7.532951,1775.424,113.1502,99.28052,125.9826,111.6589,124.707,111.1914,104.1972,0,124.8081,125.9929,125.989,125.99,125.991,126.0065,125.617,115.4348
9/1/2023 1:00:00 PM,943.3353,43.90415,85.04523,4,7.554118,1777.671,113.6021,99.49547,125.989,111.6871,124.7191,111.2727,104.2021,0,124.8295,125.9995,125.9861,125.99,125.9896,125.9912,125.2127,116.8226
9/1/2023 1:15:00 PM,945.4628,41.6765,84.50225,5,7.546206,1785.329,114.7723,100.3912,125.988,112.4919,125.5789,112.2961,105.3458,0,125.9567,125.9955,125.983,125.9919,125.9935,125.986,125.8661,119.2826
9/1/2023 1:30:00 PM,941.4073,42.18865,84.72575,4,7.544442,1782.5,113.4988,99.57099,125.7734,111.9396,125.1797,111.8551,104.9981,0,125.7682,125.7932,125.9894,125.996,126.0017,125.986,125.6674,119.9225
9/1/2023 1:45:00 PM,947.4659,42.3556,84.93015,4,7.53418,1788.768,114.5117,100.5902,125.985,112.9215,125.5709,112.604,105.9106,0,125.9714,125.978,125.996,125.9962,125.98,125.986,125.8135,122.0909
9/1/2023 2:00:00 PM,951.1025,42.2825,85.20287,3,7.548971,1791.357,114.2303,100.5269,125.989,113.2432,125.9791,112.9568,106.0816,0,125.9885,125.978,125.9911,125.996,125.98,125.9795,125.9878,123.8521
9/1/2023 2:15:00 PM,961.6513,43.18975,84.89069,3,7.547112,1797.883,115.4848,101.6875,126.0051,114.6439,125.9981,114.0544,106.8724,0,125.9841,125.9803,125.9959,125.9907,125.9942,125.9992,125.9895,125.4769
9/1/2023 2:30:00 PM,959.0066,44.23705,85.39404,2,7.552345,1769.045,114.1954,100.3819,123.9262,113.8315,124.3403,113.5682,106.0661,0,123.7172,123.6802,123.852,124.3045,124.2682,124.9362,124.1918,124.0116
9/1/2023 2:45:00 PM,909.1565,43.0254,85.04948,2,7.551115,1678.223,108.1691,97.44308,117.8885,108.3448,117.1885,108.1259,103.0212,0,117.0943,116.5559,117.4656,118.1909,117.2559,120.4515,116.2908,115.7923
9/1/2023 3:00:00 PM,946.6107,42.9845,84.90418,4,7.557242,1698.685,109.9029,101.218,117.0895,111.2416,118.175,110.8381,106.398,0,117.0726,115.786,116.0479,115.5958,115.3003,116.8054,115.9739,116.3087
9/1/2023 3:15:00 PM,706.8597,41.12225,84.8521,3,7.564626,1363.162,83.00169,76.07926,97.9298,87.26258,96.1664,85.38777,79.58766,0,91.96232,91.44273,93.80361,94.06542,95.35872,100.2001,97.60678,95.78496
9/1/2023 3:30:00 PM,441.9144,34.72925,84.25442,2,7.57218,857.467,53.03788,46.62159,61.12923,53.9666,60.32659,53.47052,49.55402,0,57.99164,60.51995,60.96202,61.91634,61.58623,64.71875,60.69639,60.43777
9/1/2023 3:45:00 PM,408.92,30.9665,84.17062,1,7.578305,830.6906,51.54311,45.12343,58.71022,51.61349,58.04461,51.67314,48.0662,0,57.31101,59.11002,59.53325,60.39396,59.92653,62.84391,58.46075,58.23674
