Nitro,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA,"AE 1000NX A, AC Power","AE 1000NX B, AC Power","AE 1000NX C, AC Power","AE 1000NX D, AC Power","AE 1000NX E, AC Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW
2023-03-08 07:00:00,178.8101,190.6011,175.7401,195.3759,175.0463,176.347,
2023-03-08 08:00:00,428.7786,515.197,497.7753,518.5115,495.7495,480.0898,
2023-03-08 09:00:00,661.2902,787.2402,777.0318,790.9451,765.4141,739.8174,
2023-03-08 10:00:00,845.3287,966.0947,954.9406,970.7711,946.8386,918.5444,
2023-03-08 11:00:00,957.2658,999.4578,999.3201,999.749,999.6103,997.8768,
2023-03-08 12:00:00,992.4489,999.2219,999.5438,999.5416,999.4451,999.3649,
2023-03-08 13:00:00,942.5033,996.8973,994.37,997.4973,992.9673,987.655,
2023-03-08 14:00:00,784.2056,888.007,870.464,886.9976,853.9684,820.2044,
2023-03-08 15:00:00,584.9801,655.1854,641.4499,654.8943,639.867,612.2174,
2023-03-08 16:00:00,314.2315,365.1852,368.7564,362.0096,365.5267,331.8806,
2023-03-08 17:00:00,66.36563,65.01976,64.60547,63.94453,63.87834,59.72602,
2023-03-08 18:00:00,2.00019,1.114835,1.018228,1.060444,1.171833,0.9505833,
2023-03-08 19:00:00,0,0,0,0,0,0,
2023-03-08 20:00:00,0,0,0,0,0,0,
2023-03-08 21:00:00,0,0,0,0,0,0,
2023-03-08 22:00:00,0,0,0,0,0,0,
2023-03-08 23:00:00,0,0,0,0,0,0,
2023-03-09 00:00:00,0,0,0,0,0,0,
2023-03-09 01:00:00,0,0,0,0,0,0,
2023-03-09 02:00:00,0,0,0,0,0,0,
2023-03-09 03:00:00,0,0,0,0,0,0,
2023-03-09 04:00:00,0,0,0,0,0,0,
2023-03-09 05:00:00,0,0,0,0,0,0,
2023-03-09 06:00:00,5.663112,10.29897,8.432899,10.9606,7.813856,9.2231,
2023-03-09 07:00:00,183.1328,203.9276,186.7145,206.8724,186.1058,187.1071,
2023-03-09 08:00:00,415.3055,502.3647,486.5761,506.353,485.2812,469.7205,
2023-03-09 09:00:00,651.2139,750.6638,737.6946,754.4637,727.0787,706.6106,
2023-03-09 10:00:00,836.8715,949.8323,932.2388,948.7903,921.2626,893.1215,
2023-03-09 11:00:00,954.0231,999.2637,997.6313,999.3346,995.3098,979.2774,
2023-03-09 12:00:00,893.6417,943.322,936.7808,941.7674,928.0069,908.3025,
2023-03-09 13:00:00,878.369,935.3604,926.9144,930.277,914.957,883.871,
2023-03-09 14:00:00,801.3412,874.6021,853.8646,864.7657,844.7637,815.4139,
2023-03-09 15:00:00,597.9864,663.4694,649.6142,653.5275,641.389,614.6868,
2023-03-09 16:00:00,276.7375,307.6676,308.0822,304.7617,303.0112,279.9808,
2023-03-09 17:00:00,84.73909,79.59798,80.49397,79.41853,79.591,74.72574,
2023-03-09 18:00:00,3.042462,1.445668,1.502335,1.446502,1.516563,1.391641,
2023-03-09 19:00:00,0,0,0,0,0,0,
2023-03-09 20:00:00,0,0,0,0,0,0,
2023-03-09 21:00:00,0,0,0,0,0,0,
2023-03-09 22:00:00,0,0,0,0,0,0,
2023-03-09 23:00:00,0,0,0,0,0,0,
2023-03-10 00:00:00,0,0,0,0,0,0,
2023-03-10 01:00:00,0,0,0,0,0,0,
2023-03-10 02:00:00,0,0,0,0,0,0,
2023-03-10 03:00:00,0,0,0,0,0,0,
2023-03-10 04:00:00,0,0,0,0,0,0,
2023-03-10 05:00:00,0,0,0,0,0,0,
2023-03-10 06:00:00,0.1913889,0.406892,0.4484723,0.406892,0.4633457,0.3366668,
2023-03-10 07:00:00,14.4363,18.37659,18.18363,18.0841,18.26536,17.09557,
2023-03-10 08:00:00,28.81889,34.91546,34.55817,35.03118,33.94611,32.45467,
2023-03-10 09:00:00,39.26014,45.47949,44.91008,45.4545,44.22704,42.37647,
2023-03-10 10:00:00,60.43416,72.23014,71.61031,72.25539,70.24105,67.34765,
2023-03-10 11:00:00,74.81895,89.79684,88.82294,90.02453,87.31698,83.90469,
2023-03-10 12:00:00,87.9967,112.7964,110.6208,112.1311,108.8093,104.3863,
2023-03-10 13:00:00,87.77989,102.3938,102.0045,103.2065,100.1791,96.54069,
2023-03-10 14:00:00,52.12611,62.37925,60.83848,61.74604,58.85784,56.79187,
2023-03-10 15:00:00,48.26722,55.18365,53.40179,54.82492,52.36668,50.75594,
2023-03-10 16:00:00,26.46962,29.1665,29.11071,28.55026,28.35313,26.57548,
2023-03-10 17:00:00,14.23297,16.50322,16.42376,15.98397,16.09431,14.85113,
2023-03-10 18:00:00,1.605028,0.7433583,0.7997472,0.6754292,0.8551638,0.676328,
2023-03-10 19:00:00,0,0,0,0,0,0,
2023-03-10 20:00:00,0,0,0,0,0,0,
2023-03-10 21:00:00,0,0,0,0,0,0,
2023-03-10 22:00:00,0,0,0,0,0,0,
2023-03-10 23:00:00,0,0,0,0,0,0,
2023-03-11 00:00:00,0,0,0,0,0,0,
2023-03-11 01:00:00,0,0,0,0,0,0,
2023-03-11 02:00:00,0,0,0,0,0,0,
2023-03-11 03:00:00,0,0,0,0,0,0,
2023-03-11 04:00:00,0,0,0,0,0,0,
2023-03-11 05:00:00,0,0,0,0,0,0,
2023-03-11 06:00:00,9.177359,9.69471,8.002221,10.15097,7.915389,8.904708,
2023-03-11 07:00:00,191.3276,201.7998,188.3456,205.4271,188.9798,188.7408,
2023-03-11 08:00:00,244.7386,291.1821,287.7231,300.9383,284.7898,284.842,
2023-03-11 09:00:00,580.5682,691.339,684.2325,692.356,671.2512,647.7546,
2023-03-11 10:00:00,778.649,940.9682,905.8062,941.491,913.205,890.3755,
2023-03-11 11:00:00,881.0052,973.6447,964.9606,980.2756,962.4961,959.7094,
2023-03-11 12:00:00,856.884,841.7388,834.0514,851.8583,831.2148,831.9866,
2023-03-11 13:00:00,902.0423,976.0737,970.6143,973.7825,965.8201,937.3907,
2023-03-11 14:00:00,786.9953,906.6039,895.5475,906.5814,885.4609,853.3394,
2023-03-11 15:00:00,620.3381,735.0342,719.2055,726.4005,711.705,680.3167,
2023-03-11 16:00:00,381.8915,435.7137,444.2083,431.6071,439.7777,393.1515,
2023-03-11 17:00:00,57.14809,55.1619,56.69561,54.99089,56.01311,50.46391,
2023-03-11 18:00:00,2.644031,1.779457,1.890038,1.684053,1.753068,1.629879,
2023-03-11 19:00:00,0,0,0,0,0,0,
2023-03-11 20:00:00,0,0,0,0,0,0,
2023-03-11 21:00:00,0,0,0,0,0,0,
2023-03-11 22:00:00,0,0,0,0,0,0,
2023-03-11 23:00:00,0,0,0,0,0,0,
2023-03-12 00:00:00,0,0,0,0,0,0,
2023-03-12 01:00:00,0,0,0,0,0,0,
2023-03-12 03:00:00,0,0,0,0,0,0,
2023-03-12 04:00:00,0,0,0,0,0,0,
2023-03-12 05:00:00,0,0,0,0,0,0,
2023-03-12 06:00:00,0,0,0,0,0,0,
2023-03-12 07:00:00,0.2587654,0.849792,0.7943055,0.7380555,0.8909723,0.7378475,
2023-03-12 08:00:00,6.353917,8.490347,8.309793,8.184444,8.642499,7.863333,
2023-03-12 09:00:00,29.31001,38.03446,37.31072,38.1978,37.23217,35.55016,
2023-03-12 10:00:00,63.46206,77.44603,76.49083,77.41811,75.40485,71.94992,
2023-03-12 11:00:00,88.03596,120.4761,117.8604,120.1763,116.7522,111.9236,
2023-03-12 12:00:00,140.8545,177.2755,173.6897,177.8761,171.1991,166.4064,
2023-03-12 13:00:00,86.13098,111.8325,108.8098,111.5484,107.0758,104.75,
2023-03-12 14:00:00,83.87895,100.5065,99.2669,100.1324,97.16629,93.72119,
2023-03-12 15:00:00,45.31889,51.33036,50.00545,51.77491,50.16092,48.22088,
2023-03-12 16:00:00,30.98896,35.97445,35.36409,35.60442,34.5899,33.32914,
2023-03-12 17:00:00,23.15544,27.05094,26.44164,26.58018,26.05331,24.94435,
2023-03-12 18:00:00,3.257485,2.646051,2.632645,2.343335,3.079448,2.288057,
2023-03-12 19:00:00,0.08270832,0,0,0,0,0,
2023-03-12 20:00:00,0,0,0,0,0,0,
2023-03-12 21:00:00,0,0,0,0,0,0,
2023-03-12 22:00:00,0,0,0,0,0,0,
2023-03-12 23:00:00,0,0,0,0,0,0,
2023-03-13 00:00:00,0,0,0,0,0,0,
2023-03-13 01:00:00,0,0,0,0,0,0,
2023-03-13 02:00:00,0,0,0,0,0,0,
2023-03-13 03:00:00,0,0,0,0,0,0,
2023-03-13 04:00:00,0,0,0,0,0,0,
2023-03-13 05:00:00,0,0,0,0,0,0,
2023-03-13 06:00:00,0,0,0,0,0,0,
2023-03-13 07:00:00,0.6176749,2.531806,2.655347,2.613055,2.419306,2.390278,
2023-03-13 08:00:00,36.58419,52.5816,50.8852,52.60548,50.53111,49.40687,
2023-03-13 09:00:00,105.523,134.8511,129.9123,135.4527,129.5269,127.344,
2023-03-13 10:00:00,180.6187,231.8794,231.9807,227.3354,222.9983,210.3569,
2023-03-13 11:00:00,334.3824,362.8303,358.3623,315.6386,362.9926,338.4811,
2023-03-13 12:00:00,369.9571,495.3674,442.1033,448.125,411.1848,415.1302,
2023-03-13 13:00:00,774.6979,786.0215,794.7721,787.1308,729.1731,746.5524,
2023-03-13 14:00:00,744.5236,873.0659,814.642,824.1573,772.335,818.5956,
2023-03-13 15:00:00,501.3214,587.8198,565.5778,519.7981,536.6898,499.4539,
2023-03-13 16:00:00,446.9416,473.9298,502.8189,469.618,485.2936,437.0257,
2023-03-13 17:00:00,219.7474,262.5656,244.346,262.6952,227.334,225.0874,
2023-03-13 18:00:00,69.97197,76.87958,74.51716,74.86336,73.79686,69.29541,
