Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P"
,W/m²,kW,kW,kW,kW
2022-09-09 23:00:00,-0.3497196,0,0,0,0
2022-09-10 00:00:00,-0.3088245,0,0,0,0
2022-09-10 01:00:00,-0.3445185,0,0,0,0
2022-09-10 02:00:00,-0.3191176,0,0,0,0
2022-09-10 03:00:00,-0.3196937,0,0,0,0
2022-09-10 04:00:00,-0.2778868,0,0,0,0
2022-09-10 05:00:00,-0.275586,0,0,0,0
2022-09-10 06:00:00,3.741938,0.4916668,1.42,1.86,1.643333
2022-09-10 07:00:00,278.3659,631.8649,671.0783,690.6401,675.6918
2022-09-10 08:00:00,665.7435,1867.02,1943.558,2000.003,1957.896
2022-09-10 09:00:00,789.7665,2173.642,2262.26,2317.461,2264.128
2022-09-10 10:00:00,810.4694,2133.868,2229.806,2284.768,2244.3
2022-09-10 11:00:00,796.9644,2062.872,2158.458,2203.867,2153.467
2022-09-10 12:00:00,786.4552,2010.967,2102.052,2147.932,2099.624
2022-09-10 13:00:00,790.7263,2026.192,2120.132,2177.406,2133.468
2022-09-10 14:00:00,807.2039,2074.962,2187.233,2255.125,2201.825
2022-09-10 15:00:00,814.4919,2115.825,2221.267,2292.892,2243.082
2022-09-10 16:00:00,759.9836,2006.225,2104.768,2174.395,2122.155
2022-09-10 17:00:00,464.7373,1289.629,1346.033,1393.642,1355.718
2022-09-10 18:00:00,107.0274,262.3183,273.0717,284.5633,274.1634
2022-09-10 19:00:00,3.952875,8.786668,9.313333,10.67833,10.28167
2022-09-10 20:00:00,-0.435605,0,0,0,0
2022-09-10 21:00:00,-0.545395,0,0,0,0
2022-09-10 22:00:00,-0.2676922,0,0,0,0
2022-09-10 23:00:00,-0.3004441,0,0,0,0
2022-09-11 00:00:00,-0.3327146,0,0,0,0
2022-09-11 01:00:00,-0.3385488,0,0,0,0
2022-09-11 02:00:00,-0.3229004,0,0,0,0
2022-09-11 03:00:00,-0.3444819,0,0,0,0
2022-09-11 04:00:00,-0.2194504,0,0,0,0
2022-09-11 05:00:00,-0.3571295,0,0,0,0
2022-09-11 06:00:00,2.446236,0,0,0,0
2022-09-11 07:00:00,170.1647,287.665,299.735,311.6533,301.6983
2022-09-11 08:00:00,450.4024,1030.652,1061.04,1088.478,1053.218
2022-09-11 09:00:00,637.9918,1666.562,1733.693,1784.847,1739.553
2022-09-11 10:00:00,517.5972,1427.067,1520.437,1591.655,1573.135
2022-09-11 11:00:00,669.1708,1736.754,1807.073,1855.182,1817.177
2022-09-11 12:00:00,390.697,1075.865,1119.527,1144.295,1102.808
2022-09-11 13:00:00,406.436,1156.147,1199.378,1221.66,1182.396
2022-09-11 14:00:00,463.7882,1248.417,1307.935,1343.78,1298.335
2022-09-11 15:00:00,458.8757,1124.092,1171.538,1206.662,1182.79
2022-09-11 16:00:00,235.9756,485.1417,501.96,519.7516,503.4667
2022-09-11 17:00:00,94.01363,173.3083,178.8533,187.105,181.8
2022-09-11 18:00:00,55.65173,112.9134,117.59,124.42,121.28
2022-09-11 19:00:00,1.882908,1.666667,2.545,3.3,3.23
2022-09-11 20:00:00,-0.3253013,0,0,0,0
2022-09-11 21:00:00,-0.4527025,0,0,0,0
2022-09-11 22:00:00,-0.4766181,0,0,0,0
2022-09-11 23:00:00,-0.3547111,0,0,0,0
2022-09-12 00:00:00,-0.3482953,0,0,0,0
2022-09-12 01:00:00,-0.4137509,0,0,0,0
2022-09-12 02:00:00,-0.3610639,0,0,0,0
2022-09-12 03:00:00,-0.3530827,0,0,0,0
2022-09-12 04:00:00,-0.226716,0,0,0,0
2022-09-12 05:00:00,-0.4000601,0,0,0,0
2022-09-12 06:00:00,0.1420539,0,0,0,0
2022-09-12 07:00:00,28.73866,59.36167,61.53,65.61,64.11333
2022-09-12 08:00:00,66.21736,147.9583,152.335,159.505,155.795
2022-09-12 09:00:00,415.8922,1062.808,1112.078,1148.955,1164.857
2022-09-12 10:00:00,842.3174,2208.468,2335.962,2376.867,2318.468
2022-09-12 11:00:00,829.8521,2078.559,2212.332,2275.507,2195.356
2022-09-12 12:00:00,827.7401,2124.818,2240.847,2286.263,2245.017
2022-09-12 13:00:00,841.6611,2171.868,2260.848,2300.785,2231.489
2022-09-12 14:00:00,827.4598,2153.103,2235.519,2289.558,2244.787
2022-09-12 15:00:00,691.7011,1662.222,1728.35,1763.663,1728.795
2022-09-12 16:00:00,684.6752,1834.198,1902.273,1939.638,1880.44
2022-09-12 17:00:00,701.6179,1906.625,2008.896,2083.058,2032.965
2022-09-12 18:00:00,263.6735,702.3734,728.0066,739.3718,699.0634
2022-09-12 19:00:00,2.960021,2.933332,3.355,4.858333,4.743332
2022-09-12 20:00:00,-0.2903777,0,0,0,0
2022-09-12 21:00:00,-0.4433083,0,0,0,0
2022-09-12 22:00:00,-0.3729711,0,0,0,0
2022-09-12 23:00:00,-0.3637232,0,0,0,0
2022-09-13 00:00:00,-0.2584457,0,0,0,0
2022-09-13 01:00:00,-0.3247004,0,0,0,0
2022-09-13 02:00:00,-0.2980744,0,0,0,0
2022-09-13 03:00:00,-0.2890505,0,0,0,0
2022-09-13 04:00:00,-0.3070556,0,0,0,0
2022-09-13 05:00:00,-0.2654319,0,0,0,0
2022-09-13 06:00:00,2.6253,0,0,0.13,0.13
2022-09-13 07:00:00,272.968,599.2783,632.9701,653.0032,644.9634
2022-09-13 08:00:00,662.4995,1880.249,1941.052,1996.307,1963.222
2022-09-13 09:00:00,800.7377,2236.41,2310.928,2369.965,2330.559
2022-09-13 10:00:00,853.2983,2311.123,2393.783,2447.233,2405.902
2022-09-13 11:00:00,850.8143,2254.596,2341.918,2412.817,2381.812
2022-09-13 12:00:00,836.4139,2249.075,2338.307,2393.422,2358.542
2022-09-13 13:00:00,828.9963,2231.228,2319.255,2373.825,2336.365
2022-09-13 14:00:00,840.7731,2247.33,2299.41,2352.335,2305.393
2022-09-13 15:00:00,875.76,2339.665,2446.817,2521.275,2483.808
2022-09-13 16:00:00,838.9173,2342.658,2440.687,2516.022,2472.88
2022-09-13 17:00:00,665.5629,617.7165,645.08,670.44,661.0735
2022-09-13 18:00:00,252.5002,698.9233,731.2184,755.3168,737.6633
2022-09-13 19:00:00,2.684983,0,0,0,0
2022-09-13 20:00:00,-0.2671613,0,0,0,0
2022-09-13 21:00:00,-0.3701771,0,0,0,0
2022-09-13 22:00:00,-0.332264,0,0,0,0
2022-09-13 23:00:00,-0.3117872,0,0,0,0
2022-09-14 00:00:00,-0.3016014,0,0,0,0
2022-09-14 01:00:00,-0.3293008,0,0,0,0
2022-09-14 02:00:00,-0.2728849,0,0,0,0
2022-09-14 03:00:00,-0.2556655,0,0,0,0
2022-09-14 04:00:00,-0.3183522,0,0,0,0
2022-09-14 05:00:00,-0.237884,0,0,0,0
2022-09-14 06:00:00,2.7388,0,0,0,0
2022-09-14 07:00:00,157.3006,314.145,327.9517,339.1234,331.5967
2022-09-14 08:00:00,383.7919,1100.87,1134.442,1165.97,1140.18
