Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
South Robeson,28648,"Oct 23, 2023 06:00:00 AM","Oct 23, 2023 01:50:00 PM","Oct 23, 2023 02:10:00 PM",All Inverters + POA - No Comms
South Robeson,28682,"Oct 23, 2023 06:00:00 AM",,"Nov 01, 2023 07:13:00 AM",Deno weather station not communicating
Aulander,28649,"Oct 23, 2023 06:15:00 AM","Oct 23, 2023 12:27:00 PM","Oct 23, 2023 02:30:00 PM",INV 2 - Offline (E045 - Door Open AC)
,28607,"Oct 23, 2023 07:19:00 AM","Oct 23, 2023 09:45:00 AM","Oct 25, 2023 07:39:00 AM",EA-703 MX5800 Tractor Hourly Maintenance
,28633,"Oct 23, 2023 07:19:00 AM","Oct 23, 2023 08:15:00 AM","Oct 25, 2023 07:39:00 AM",Landscaping East vegetative equipment hour meter reading entry
,28640,"Oct 23, 2023 07:21:00 AM",,"Oct 25, 2023 07:44:00 AM",Landscaping South vegetative equipment hour meter reading entry
Sonne Two,28446,"Oct 23, 2023 08:00:00 AM","Nov 02, 2023 12:00:00 PM",,Sonne Two - NESM/Exus Annual Inspection
ART 3,28650,"Oct 23, 2023 10:03:00 AM",,,AC disconnect overheating feeder. 
,28651,"Oct 23, 2023 10:29:00 AM",,,West Crew Bushhog - Broken/dull blades & damage stumpjumpers
Connley Collector Station,24842,"Oct 23, 2023 11:00:00 AM","Oct 26, 2023 08:10:00 PM",,Deenergize and reenergize substation around planned outage #23-02379
Fort Rock Solar I,24843,"Oct 23, 2023 11:00:00 AM","Oct 26, 2023 08:10:00 PM",,Deenergize and reenergize site around planned outage #23-02379
Rock Garden Collector Station,24844,"Oct 23, 2023 11:00:00 AM","Oct 26, 2023 08:10:00 PM",,Deenergize and reenergize substation around planned outage #23-02379
Fort Rock Solar IV,24845,"Oct 23, 2023 11:00:00 AM",,,Deenergize and reenergize site around planned outage #23-02379
West Newberry,28653,"Oct 23, 2023 11:34:00 AM",,,West Newberry - Site Onboarding
Red Oak,28654,"Oct 23, 2023 01:20:00 PM","Oct 27, 2023 03:45:00 PM",,Red Oak - Site - Offline 10/23 to 10/27 (Scheduled Switching # DCE23-018607-LOAD)
Agate Bay,28656,"Oct 23, 2023 02:00:00 PM","Oct 23, 2023 08:30:00 PM",,Agate Bay - Site - Offline (Grid Event)
Turkey Hill,28655,"Oct 23, 2023 02:02:00 PM",,,Purchase 300 Fuses
,28660,"Oct 23, 2023 09:00:00 PM","Oct 26, 2023 11:38:00 AM",,URE Exhibit Review
Bartow,28658,"Oct 24, 2023 07:19:00 AM","Oct 27, 2023 04:40:00 PM","Oct 30, 2023 09:41:00 AM",Site Mow
Cottonwood,28644,"Oct 24, 2023 07:30:00 AM","Oct 24, 2023 04:19:00 PM",,"Cottonwood - Alchemy Semi-annual Inspection
SECTION B1

See Files tab for a list of which 25% of equipment to inspect for each inspection."
"Railroad Solar Farm, LLC",28659,"Oct 24, 2023 08:30:00 AM","Oct 25, 2023 09:00:00 AM","Oct 25, 2023 11:14:00 AM",INV 3A - Offline (event code - 0804)
,28717,"Oct 24, 2023 08:30:00 AM",,,"Check engine light - ""Reduced Engine Power"" & Tire Pressure Sensor Calibration "
Sadiebrook,28661,"Oct 24, 2023 09:15:00 AM",,,Site - No Comms
Riley Solar I,28664,"Oct 24, 2023 09:15:00 AM","Oct 24, 2023 10:30:00 AM",,Site offline due to utility trip and reclose
Starvation Ridge Collector Station,28665,"Oct 24, 2023 09:15:00 AM","Oct 24, 2023 10:42:00 AM",,Substation offline due to utility trip and reclose
Starvation Solar I,28666,"Oct 24, 2023 09:15:00 AM","Oct 24, 2023 10:42:00 AM",,Site offline due to utility trip and reclose
Augusta,28668,"Oct 24, 2023 09:15:00 AM","Oct 25, 2023 09:34:00 AM",,INV 8 - Offline (010 - AC Power Failure)
Best Lane Collector Station,28662,"Oct 24, 2023 09:30:00 AM","Oct 24, 2023 10:15:00 AM",,Substation offilne due to utility trip and reclose
Sarah,28663,"Oct 24, 2023 10:46:00 AM",,,"UAV Follow Up @ Sarah: 1 CB Offline (CB A-7), 5 String Anomalies, 2 Strings w/ Electrical Damage, 2 Damaged Modules"
"Franklin Solar, LLC",28667,"Oct 24, 2023 11:24:00 AM",,,Repair/replace overheating Polaris lugs in DC Discos 1 & 2. 
Amethyst,28670,"Oct 24, 2023 02:20:00 PM","Oct 25, 2023 01:15:00 PM",,Site offline with SEL Protection Relay alarms on both inverters
Bird Dog ,28696,"Oct 24, 2023 04:00:00 PM",,,Technical Inspection of Bird Dog Site 
South Robeson,28673,"Oct 24, 2023 05:00:00 PM",,,Inv. D2 replace faulted key switch
"Carnes Creek Solar, LLC",28734,"Oct 24, 2023 08:00:00 PM",,,Sitewide - Trackers Stalled
Albertson,28643,"Oct 25, 2023 07:13:00 AM",,,Albertson - Soltage Annual (+Triannual) Inspection
Four Oaks,28675,"Oct 25, 2023 10:20:00 AM","Oct 27, 2023 03:00:00 PM",,MV Dip Pole - Failed Surge Arrestor
1634,28672,"Oct 25, 2023 10:22:00 AM",,,1634 underperformance investigation
Arba,28681,"Oct 25, 2023 10:55:00 AM","Oct 27, 2023 02:44:00 PM","Oct 30, 2023 07:32:00 AM",INV 1 (140303-12 SGI 500XT) - Offline (No Comms)
Bartow,28809,"Oct 25, 2023 12:00:00 PM",,,"INV 3D.6 - Offline (Fault0080, Fault0050, Fault0020)"
Rose Acre Solar Energy Storage,28676,"Oct 25, 2023 01:04:00 PM",,,"UAV Follow Up @ Rose Acre: 1 String Inverter Offline, 1 Misaligned Tracker, 28 String Anomalies, 23 Damaged Modules, 5 Modules w/ Faulty Bypass Diodes, 36 Modules w/ Cell level Hotspots."
"Linkville Solar, LLC",28652,"Oct 25, 2023 01:24:00 PM",,,"Mob Fee WO -  $10,261.24 for linkville mobilization"
Brightwood,28677,"Oct 25, 2023 01:30:00 PM","Oct 25, 2023 12:45:00 PM",,INV 1 - Intermittent Offline (DC Overvoltage)
,28642,"Oct 26, 2023 07:11:00 AM",,,Landscaping North vegetative equipment hour meter reading entry
Mariposa,28339,"Oct 26, 2023 07:14:00 AM","Oct 26, 2023 04:00:00 PM","Oct 26, 2023 04:00:00 PM",Mariposa - NESM/Exus UAV Inspection
Freemont,28340,"Oct 26, 2023 07:14:00 AM","Oct 26, 2023 04:00:00 PM","Oct 26, 2023 04:00:00 PM",Freemont - NESM/Exus UAV Inspection
Wolfskin,28697,"Oct 26, 2023 08:00:00 AM",,,Technical Inspection of Wolfskin Site 
Amethyst,28678,"Oct 26, 2023 08:07:00 AM",,,Track Eaton RMA for a PSG240e power supply to restock Menlo Inventory. 
South Robeson,28679,"Oct 26, 2023 11:32:00 AM",,,INV D2 - No Comms
"Cosper Creek Solar, LLC",27800,"Oct 26, 2023 03:40:00 PM","Oct 25, 2023 06:14:00 PM",,Cosper Creek - hep Petra UAV Inspection
"Sesqui-C Solar, LLC",27804,"Oct 26, 2023 03:41:00 PM","Oct 25, 2023 06:17:00 PM",,Sesqui-C- hep Petra UAV Inspection
"Fruitland Creek Solar, LLC",27802,"Oct 26, 2023 04:00:00 PM",,,Fruitland Creek - hep Petra UAV Inspection
Drift Creek,28735,"Oct 26, 2023 04:00:00 PM",,,INV 18 - Underperforming ~25%
NC Solar I,28683,"Oct 27, 2023 07:21:00 AM",,,XFMR 1 DGA-Request a Furan analysis in addition to test life expectancy of XFMR
