Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 12:15:00 PM,791.2665,95.77148,74.27275,6,12.80889,1546.688,84.23974,77.3588,95.44601,89.68364,83.25395,99.81122,81.84819,90.23058,94.95959,97.73882,98.39649,101.1127,79.24911,73.86129,87.0908,89.04713,93.91575,93.47598
9/1/2023 12:30:00 PM,912.1374,100.1413,76.48718,6,12.87348,1779.762,103.5467,89.18085,104.8039,98.85967,92.16666,111.6662,92.02567,99.63172,103.3162,105.7071,105.5957,113.2197,87.45244,76.9582,91.15075,90.87006,95.34509,94.84883
9/1/2023 12:45:00 PM,842.4949,98.32697,76.72903,7,12.89538,1682.424,96.3605,85.26935,103.0412,93.914,87.09889,106.54,89.26771,95.27173,101.0356,101.9779,99.87244,107.7814,82.07413,73.96756,89.64451,92.16177,94.77843,91.97339
9/1/2023 1:00:00 PM,842.4003,97.41561,77.45786,6,12.90021,1711.009,99.25597,88.40807,106.2964,96.62955,90.98071,107.8525,91.89724,96.99962,104.0499,104.5116,101.2533,109.4722,82.68644,75.1908,90.8894,94.17841,96.30658,91.0065
9/1/2023 1:15:00 PM,858.4846,98.36397,78.71255,7,12.87088,1747.385,101.4532,91.75084,108.7357,97.93961,94.4482,109.7423,96.4927,100.5826,107.6547,107.5931,102.7969,111.5427,83.02086,77.37772,93.30069,98.20875,99.13759,90.53782
9/1/2023 1:30:00 PM,818.501,96.33739,79.03963,7,12.88718,1705.696,99.88461,89.6284,105.2933,94.43951,92.6465,106.6088,95.91454,98.41027,103.5695,102.975,98.45002,108.2465,79.94174,75.35928,91.30525,96.75395,97.24343,86.93766
9/1/2023 1:45:00 PM,829.3143,94.65555,79.42284,7,12.85254,1710.321,101.6086,89.31178,104.966,93.30103,92.79469,106.1495,96.78426,99.763,105.8602,104.8232,98.53826,108.0761,78.9011,74.97709,89.93439,97.69864,98.08926,85.35468
9/1/2023 2:00:00 PM,813.5041,95.02105,80.38885,8,12.84245,1659.335,94.62283,85.58611,102.9136,88.53218,92.3012,104.2483,95.00835,98.55917,103.2733,101.7331,94.28166,104.0585,74.98814,72.318,87.38311,98.86256,98.60895,83.99837
9/1/2023 2:15:00 PM,849.5717,93.49318,80.63935,9,12.82974,1746.199,106.7698,91.93889,108.3869,93.60545,95.76256,108.2699,101.8313,103.6273,109.2183,107.1536,98.83688,110.2731,78.35246,76.43783,90.16766,101.5802,100.9286,82.43497
9/1/2023 2:30:00 PM,841.4605,92.89866,80.65859,8,12.83408,1727.509,106.2436,90.36389,107.1073,91.55894,95.18067,107.354,101.5832,103.1805,108.0411,105.992,97.22544,109.5392,76.84081,75.4427,88.31936,101.2882,100.5871,79.87805
