Drift Creek Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Basic w/ Wind),Production meter AC voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 2 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 3 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 4 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 5 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 6 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 7 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 8 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 9 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 10 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 11 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 12 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 13 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 14 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 15 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 16 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 17 CPS SCH100KTL-DO/US-600, Active Power","Inverter - 18 CPS SCH100KTL-DO/US-600, Active Power"
10/1/2023 3:15:00 PM,712.348,99.94138,68.811,2,,1779.094,100.5174,106.2206,108.0222,106.3888,106.5922,106.6365,108.0476,106.6995,108.7163,101.7479,98.74648,87.67655,100.6616,100.6707,100.1649,93.07246,91.66422,66.19247
10/1/2023 3:30:00 PM,653.4626,99.56213,69.47112,2,,1677.102,94.68464,100.2909,101.965,100.456,100.6643,100.7235,101.6472,100.2402,102.3566,95.71704,93.09125,82.47558,94.81213,95.23662,94.73791,87.71037,83.74274,63.75906
10/1/2023 3:45:00 PM,602.0944,98.13967,69.73409,2,,1559.872,88.34669,93.49766,95.03914,93.61491,93.85041,93.85178,94.76255,93.45712,95.47224,89.22278,86.14007,76.92455,88.39088,88.85228,88.45209,81.79242,76.12599,58.56023
10/1/2023 4:00:00 PM,565.9016,96.53537,69.81613,3,,1446.586,82.34456,87.11595,88.55882,87.18697,87.3619,87.3695,88.23994,86.82378,89.14944,83.30956,76.07719,71.88898,82.61005,83.04371,82.5725,76.39354,70.4699,51.11871
10/1/2023 4:15:00 PM,511.7982,94.47634,70.07712,2,,1312.882,74.71428,78.9887,80.32098,79.32598,79.20736,79.21165,80.44706,78.9335,81.42361,75.99004,66.36859,65.34366,75.13852,75.97243,74.73717,68.9285,63.33628,47.16833
10/1/2023 4:30:00 PM,423.6875,91.43581,70.39874,1,,1157.202,66.26039,69.99515,71.12452,69.99696,70.04675,70.01466,70.8294,69.33113,71.7001,66.82256,57.95126,57.78899,66.53394,66.96486,66.22109,58.51086,52.47945,45.05645
10/1/2023 4:45:00 PM,354.9828,87.46053,70.48147,2,,1025.128,59.34528,62.64466,63.73034,62.69717,62.78957,62.76904,63.43283,61.76043,64.5332,59.94447,49.75129,51.8728,59.73571,60.11908,59.6954,50.25,45.0168,36.92645
10/1/2023 5:00:00 PM,312.3203,82.39496,69.92373,3,,898.533,52.43572,55.35975,56.30022,55.3793,55.40489,55.32092,56.01327,54.35239,57.08698,52.84342,44.50903,45.84593,52.86435,53.18354,52.81133,41.60046,38.78786,29.55995
10/1/2023 5:15:00 PM,268.4329,79.05332,69.49008,2,,736.215,43.04133,45.43391,46.47951,45.38861,45.74137,45.32773,46.18499,44.57811,47.25944,43.5073,39.35083,37.6975,43.55576,44.09167,43.49617,33.88163,30.51427,20.76501
10/1/2023 5:30:00 PM,225.9291,76.55807,69.19101,1,,571.3066,34.04483,35.90171,36.50505,35.72517,35.87339,35.72455,36.12211,34.55684,37.216,34.11774,31.53045,29.80429,33.74943,34.68115,34.5155,26.11586,22.56023,12.05158
10/1/2023 5:45:00 PM,178.106,73.22366,68.73084,2,,407.3768,24.8085,26.13764,26.62783,25.88882,26.0883,25.95937,26.29535,24.82611,27.32262,24.93033,22.32149,21.71872,21.92292,23.74371,25.22592,20.03357,13.76341,7.207374
10/1/2023 6:00:00 PM,124.1576,69.31968,68.26587,1,,260.0613,16.07772,16.95273,17.25971,16.66278,16.93609,16.77291,17.12311,15.84817,17.95971,16.22842,15.19097,13.93721,12.26486,13.45196,15.2713,13.8131,7.900408,5.598379
10/1/2023 6:15:00 PM,47.18798,64.79625,67.19773,1,,90.34019,5.847722,6.194809,6.241282,5.933151,6.315258,6.09006,6.188804,5.673444,6.485675,5.753527,5.509018,4.851707,4.826405,4.315928,5.080222,5.267778,3.273169,3.145969
10/1/2023 6:30:00 PM,16.28584,59.4115,65.04012,2,,23.98296,1.781944,1.925682,1.944949,1.723116,2.100573,1.84734,1.852416,1.687611,1.915116,1.645471,1.550573,1.516929,1.663238,1.240072,1.358389,1.377049,1.229056,1.016507
