Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Total Power","Schneider SmartGen CS1800 Inverter - 1.2, Total Power","Schneider SmartGen CS1800 Inverter - 2.1, Total Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-04-11 19:00:00,8.565841,18.02871,17.11151,17.61852,53.46457
2023-04-11 20:00:00,0,0.0004855526,-0.003411084,-0.005409141,-7.91745
2023-04-11 21:00:00,0,-0.0133991,0.006481731,0.007344202,-7.910595
2023-04-11 22:00:00,0,-0.001211341,-0.007131863,4.9286e-05,-7.746098
2023-04-11 23:00:00,0,0.004665588,-0.01972307,-0.004759644,-7.730103
2023-04-12 00:00:00,0,-0.02130771,0.00721054,0.01348802,-7.738432
2023-04-12 01:00:00,0,-0.005285745,0.004261592,0.0007818647,-7.777507
2023-04-12 02:00:00,0,0.006563158,0.007987651,-0.006053357,-7.819743
2023-04-12 03:00:00,0,-0.0165572,0.01142284,-0.02084869,-7.823523
2023-04-12 04:00:00,0,-0.005615342,-0.01292979,0.003600627,-7.822673
2023-04-12 05:00:00,0,-0.003905743,-0.003027421,-0.01151228,-7.734048
2023-04-12 06:00:00,2.781801,0.08193503,0.08840634,-0.001919941,-7.529201
2023-04-12 07:00:00,89.65759,129.4433,134.2674,128.9431,394.7662
2023-04-12 08:00:00,323.2896,567.2259,581.1948,561.2178,1699.797
2023-04-12 09:00:00,605.5513,971.8072,1124.232,1090.923,3163.409
2023-04-12 10:00:00,806.8558,1392.236,1468.726,1433.962,4255.678
2023-04-12 11:00:00,974.546,1644.666,1656.76,1644.213,4882.083
2023-04-12 12:00:00,1050.233,1663.329,1666.145,1661.468,4927.664
2023-04-12 13:00:00,1099.922,1666.637,1666.616,1666.684,4931.789
2023-04-12 14:00:00,1035.842,1666.657,1666.63,1666.651,4930.116
2023-04-12 15:00:00,890.9033,1542.406,1572.744,1541.844,4593.755
2023-04-12 16:00:00,686.2303,1210.439,1235.336,1206.49,3608.598
2023-04-12 17:00:00,559.5372,992.039,1009.053,985.3802,2952.375
2023-04-12 18:00:00,,,,,
2023-04-12 19:00:00,,,,,
2023-04-12 20:00:00,,,,,
2023-04-12 21:00:00,,,,,
2023-04-12 22:00:00,,,,,
2023-04-12 23:00:00,,,,,
2023-04-13 00:00:00,,,,,
2023-04-13 01:00:00,,,,,
2023-04-13 02:00:00,,,,,
2023-04-13 03:00:00,,,,,
2023-04-13 04:00:00,,,,,
2023-04-13 05:00:00,,,,,
2023-04-13 06:00:00,,,,,
2023-04-13 07:00:00,,,,,
2023-04-13 08:00:00,,,,,
2023-04-13 09:00:00,,,,,
2023-04-13 10:00:00,,,,,
2023-04-13 11:00:00,,,,,
2023-04-13 12:00:00,,,,,
2023-04-13 13:00:00,,,,,
2023-04-13 14:00:00,,,,,
2023-04-13 15:00:00,,,,,
2023-04-13 16:00:00,,,,,
