Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-08-07 18:00:00,14.22464,,5.633347,5.744916,12.28771
2023-08-07 19:00:00,9.174356,,0,0,13.06228
2023-08-07 20:00:00,0.8859751,,0,0,-5.578984
2023-08-07 21:00:00,0,,0,0,-9.599999
2023-08-07 22:00:00,0,,0,0,-9.599999
2023-08-07 23:00:00,0,,0,0,-9.599999
2023-08-08 00:00:00,0,,0,0,-9.599999
2023-08-08 01:00:00,0,,0,0,-9.599999
2023-08-08 02:00:00,0,,0,0,-9.599999
2023-08-08 03:00:00,0,,0,0,-9.599999
2023-08-08 04:00:00,0,,0,0,-9.599999
2023-08-08 05:00:00,0,,0,0,-9.097333
2023-08-08 06:00:00,1.595794,,0,0,-9.599999
2023-08-08 07:00:00,80.42581,,78.24414,70.55723,138.4249
2023-08-08 08:00:00,289.1114,,392.669,361.6963,748.2673
2023-08-08 09:00:00,519.7324,,804.2486,782.5571,1580.419
2023-08-08 10:00:00,727.512,,1139.493,1130.389,2265.661
2023-08-08 11:00:00,809.389,,1278.562,1265.518,2527.097
2023-08-08 12:00:00,860.6652,,1326.009,1463.835,2744.694
2023-08-08 13:00:00,698.1409,,1065.639,1165.286,2142.537
2023-08-08 14:00:00,672.6774,,1110.205,1108.755,2152.58
2023-08-08 15:00:00,605.1699,,998.2642,991.3367,1878.756
2023-08-08 16:00:00,498.3683,,801.0347,819.4951,1607.903
2023-08-08 17:00:00,304.6346,,495.506,498.9753,981.8665
2023-08-08 18:00:00,124.309,,213.7537,215.0141,420.0536
2023-08-08 19:00:00,36.98751,,59.36196,57.67244,117.9082
2023-08-08 20:00:00,0.2691939,,0,0,-8.296924
2023-08-08 21:00:00,0,,0,0,-9.599999
2023-08-08 22:00:00,0,,0,0,-9.599999
2023-08-08 23:00:00,0,,0,0,-9.599999
2023-08-09 00:00:00,0,,0,0,-9.599999
2023-08-09 01:00:00,0,,0,0,-9.599999
2023-08-09 02:00:00,0,,0,0,-9.599999
2023-08-09 03:00:00,0,,0,0,-9.599999
2023-08-09 04:00:00,0,,0,0,-9.422999
2023-08-09 05:00:00,0,,0,0,-9.244999
2023-08-09 06:00:00,2.238433,,0,0,-9.510332
2023-08-09 07:00:00,76.66678,,81.29278,74.39767,148.9335
2023-08-09 08:00:00,271.9768,,382.3987,357.2514,734.0607
2023-08-09 09:00:00,477.5321,,751.5531,728.4734,1466.865
2023-08-09 10:00:00,718.8522,,1124.728,1113.574,2235.762
2023-08-09 11:00:00,892.0394,,1372.104,1334.236,2678.566
2023-08-09 12:00:00,992.6346,,1440.613,1420.41,2893
2023-08-09 13:00:00,1025.126,,1489.274,1402.33,2779.082
2023-08-09 14:00:00,820.0257,,1156.72,1152.741,2342.39
2023-08-09 15:00:00,687.5773,,1077.508,1100.648,2141.944
2023-08-09 16:00:00,533.7462,,869.5552,874.0414,1709.458
2023-08-09 17:00:00,448.5402,,671.7739,702.5941,1374.499
2023-08-09 18:00:00,187.5416,,279.4116,286.3119,553.8429
2023-08-09 19:00:00,46.44172,,81.33701,81.38562,155.4647
2023-08-09 20:00:00,1.7615,,0,0,-3.474262
2023-08-09 21:00:00,0,,0,0,-9.599999
2023-08-09 22:00:00,0,,0,0,-9.599999
2023-08-09 23:00:00,0,,0,0,-9.599999
2023-08-10 00:00:00,0,,0,0,-9.599999
2023-08-10 01:00:00,0,,0,0,-9.599999
2023-08-10 02:00:00,0,,0,0,-9.599999
2023-08-10 03:00:00,0,,0,0,-9.599999
2023-08-10 04:00:00,0,,0,0,-9.599999
2023-08-10 05:00:00,0,,0,0,-9.599999
2023-08-10 06:00:00,2.637536,,0,0,-9.599999
2023-08-10 07:00:00,9.159819,,0,0,-9.599999
2023-08-10 08:00:00,3.152863,,0,0,-9.112666
2023-08-10 09:00:00,28.02415,,28.73329,28.26953,53.48667
2023-08-10 10:00:00,307.0747,,495.9808,502.0334,1001.127
2023-08-10 11:00:00,470.4333,,850.0377,757.7849,1469.516
2023-08-10 12:00:00,768.2037,,1134.085,1158.871,2296.508
2023-08-10 13:00:00,605.9243,,918.4705,877.0652,1754.383
2023-08-10 14:00:00,623.7419,,896.4911,923.6837,1759.048
2023-08-10 15:00:00,781.922,,1162.73,1100.257,2251.27
2023-08-10 16:00:00,511.3699,,910.7546,841.0625,1697.635
2023-08-10 17:00:00,366.8583,,576.1427,580.1163,1129.856
2023-08-10 18:00:00,189.5779,,259.3158,268.6881,527.9144
2023-08-10 19:00:00,54.91734,,58.05883,59.54968,116.3728
2023-08-10 20:00:00,0.7848433,,0,0,-5.805655
2023-08-10 21:00:00,0,,0,0,-9.599999
2023-08-10 22:00:00,0,,0,0,-9.599999
2023-08-10 23:00:00,0,,0,0,-9.599999
2023-08-11 00:00:00,0,,0,0,-9.599999
2023-08-11 01:00:00,0,,0,0,-9.599999
2023-08-11 02:00:00,0,,0,0,-9.599999
2023-08-11 03:00:00,0,,0,0,-9.599999
2023-08-11 04:00:00,0,,0,0,-9.599999
2023-08-11 05:00:00,0,,0,0,-9.599999
2023-08-11 06:00:00,2.107276,,0,0,-9.422666
2023-08-11 07:00:00,78.45347,,74.42783,66.47067,133.9589
2023-08-11 08:00:00,279.7535,,401.5091,383.0372,776.7649
2023-08-11 09:00:00,460.3559,,715.5252,701.1723,1417.822
2023-08-11 10:00:00,517.4794,,814.9067,807.7452,1619.811
