Anderson Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - WS (Amb/Mod Temp),Production meter L-N voltage,Production meter active power,"CPS SCH 125 | INV-01, AC Power Output","CPS SCH 125 | INV-02, AC Power Output","CPS SCH 125 | INV-03, AC Power Output","CPS SCH 125 | INV-04, AC Power Output","CPS SCH 125 | INV-05, AC Power Output","CPS SCH 125 | INV-06, AC Power Output","CPS SCH 125 | INV-07, AC Power Output","CPS SCH 125 | INV-08, AC Power Output","CPS SCH 125 | INV-09, AC Power Output","CPS SCH 125 | INV-10, AC Power Output","CPS SCH 125 | INV-11, AC Power Output","CPS SCH 125 | INV-12, AC Power Output","CPS SCH 125 | INV-13, AC Power Output","CPS SCH 125 | INV-14, AC Power Output","CPS SCH 125 | INV-15, AC Power Output","CPS SCH 125 | INV-16, AC Power Output"
10/1/2023 9:45:00 PM,-2.15633,59.80255,66.0795,0,7.354223,-3.08,0,,,,,,,,,,,,,,,
10/1/2023 10:00:00 PM,-1.52633,58.9374,65.691,0,7.348223,-3.07533,0,,,,,,,,,,,,,,,
10/1/2023 10:15:00 PM,-0.887,59.2166,65.4705,0,7.375443,-3.11033,0,,,,,,,,,,,,,,,
10/1/2023 10:30:00 PM,-0.778667,60.0479,65.5128,0,7.361887,-3.09933,0,,,,,,,,,,,,,,,
10/1/2023 10:45:00 PM,-1.48967,60.16145,65.1711,0,7.371553,-3.11033,0,,,,,,,,,,,,,,,
10/1/2023 11:00:00 PM,-1.02767,60.3281,65.13,0,7.373557,-3.11733,0,,,,,,,,,,,,,,,
10/1/2023 11:15:00 PM,-1.574,60.10925,65.3505,0,7.37511,-3.11933,0,,,,,,,,,,,,,,,
10/1/2023 11:30:00 PM,-1.73167,59.895,65.0363,0,7.373113,-3.117,0,,,,,,,,,,,,,,,
10/1/2023 11:45:00 PM,-1.96367,59.6103,64.7724,0,7.371,-3.11,0,,,,,,,,,,,,,,,
10/2/2023 12:00:00 AM,-1.85233,59.2404,64.3359,0,7.371223,-3.11367,0,,,,,,,,,,,,,,,
10/2/2023 12:15:00 AM,-1.81733,58.4265,63.8938,0,7.370667,-3.11133,0,,,,,,,,,,,,,,,
10/2/2023 12:30:00 AM,-1.687,58.40725,63.4676,0,7.371443,-3.11033,0,,,,,,,,,,,,,,,
10/2/2023 12:45:00 AM,-1.75167,58.18575,63.1145,0,7.382664,-3.12567,0,,,,,,,,,,,,,,,
10/2/2023 1:00:00 AM,-1.97367,57.1658,62.9717,0,7.38022,-3.124,0,,,,,,,,,,,,,,,
10/2/2023 1:15:00 AM,-1.951,56.0663,62.6906,0,7.37811,-3.12567,0,,,,,,,,,,,,,,,
10/2/2023 1:30:00 AM,-1.53367,56.1569,62.3638,0,7.37233,-3.11033,0,,,,,,,,,,,,,,,
10/2/2023 1:45:00 AM,-1.89,56.2109,62.1525,0,7.355557,-3.09,0,,,,,,,,,,,,,,,
10/2/2023 2:00:00 AM,-1.61967,56.18165,61.916,0,7.351887,-3.08433,0,,,,,,,,,,,,,,,
10/2/2023 2:15:00 AM,-1.846,56.40325,61.6669,0,7.339223,-3.071,0,,,,,,,,,,,,,,,
10/2/2023 2:30:00 AM,-1.759,55.83005,61.4989,0,7.326003,-3.05333,0,,,,,,,,,,,,,,,
